Author Name,Author ID,Date,Post Text,Replies,Likes,Reshares,Views
richard slagle,@RichardLeadlock,2017-11-10T19:49:18.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
The Maker's Movement,@MAKERS_MOVEMENT,2017-11-10T19:28:15.000Z,3D printing  presents cyber security risks for aircraft...  http://,0,0,0,0
Patrick Stotler,@stotler_patrick,2017-11-10T19:06:43.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
Nexus Automation,@NexusAutomation,2017-11-10T19:06:33.000Z,Infographic:  3D Printing  is Finally Changing the Manufacturing Landscape  https://,0,0,0,0
3dprintfeed,@3dprintfeed,2017-11-10T19:55:24.000Z,"LubiMenya meaning ""love you""  3D print  sweatshirt  http://",0,0,0,0
Brenda Ticknor,@trinitysgoodmom,2017-11-10T19:42:42.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
JohnHauer,@maverickonline,2017-11-10T20:16:25.000Z,Toy Maker:  3D Print  Toys at Home with New App from AstroPrint  http://,0,0,0,0
Design Strobe,@DesignStrobe,2017-11-10T19:09:19.000Z,#Design  Bearing  3D Printed  Jewelry by Giulio Iacchetti for Maison 203  http://,0,0,0,0
alex burres,@alexburres,2017-11-10T19:30:34.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
Chris Jenrich,@cbjenri,2017-11-10T19:32:36.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
ricky doank,@rickydoank15,2017-11-10T19:08:14.000Z,Ombre Galaxy  3D Print  Pullover Hoodie        http://,0,0,0,0
terri harmon,@tcharmon,2017-11-10T19:37:16.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
John Doe,@dietlive,2017-11-10T20:26:24.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
Bill Caldera,@bicaldera,2017-11-10T20:20:24.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
Dr. Ricky Tyrone Rook,@rrook58,2017-11-10T19:05:43.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
3D Printing,@Just_Print_It,2017-11-10T19:45:35.000Z,Hybrid  #3dprinting  of Soft Electronics  https:// rid-3d-printing-of-soft-electronics/ …,1,5,3,0
Henry B,@Galahad1985,2017-11-10T19:20:45.000Z,Watch a beautiful dancer turn into a 'Wide Open'  3D print  in The Chemical Brothers' new video |  @scoopit http://,0,0,0,0
Ricardo,@Ricky_J85,2017-11-10T20:01:46.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
FakeBobGagne,@FakeBobGagne,2017-11-10T19:27:45.000Z,I  3D printed  a  3D printer  that prints other 3D printers.  #AECT2017 #AECT17,0,2,0,0
Purdue FW ITS Service Desk,@PurdueFW_ITS_HD,2017-11-10T19:58:36.000Z,Did you know you can  3D print  things on campus? Submit a ticket with the files and colors to do so!  http://,0,0,0,0
